split,conversation_id,turn_index,utterance_id,speaker_id,text,audio_path,video_path,label
train,s01_e02_c06,11,s01_e02_c06_u011,unknown,"-she, of course, she- uh- familiar with our.. special situation?",,,neutral
train,s01_e02_c06,12,s01_e02_c06_u012,unknown,"Yes, and she's very supportive.",,,neutral
train,s01_e02_c06,13,s01_e02_c06_u013,unknown,"Okay, that's great. No, I'm- Oh.",,,neutral
train,s01_e02_c06,14,s01_e02_c06_u014,unknown,Thanks.,,,neutral
train,s01_e02_c06,15,s01_e02_c06_u015,unknown,"Quack, quack..",,,joyful
train,s01_e02_c06,16,s01_e02_c06_u016,unknown,Ross? That opens my cervix.,,,scared
train,s01_e02_c07,1,s01_e02_c07_u001,unknown,Barry?,,,neutral
train,s01_e02_c07,2,s01_e02_c07_u002,unknown,C'mon in.,,,neutral
train,s01_e02_c07,3,s01_e02_c07_u003,unknown,Are you sure?,,,scared
train,s01_e02_c07,4,s01_e02_c07_u004,unknown,"Yeah! It's fine, it's fine. Robbie's gonna be here for hours.",,,neutral
train,s01_e02_c07,5,s01_e02_c07_u005,unknown,Huh?!,,,scared
train,s01_e02_c07,6,s01_e02_c07_u006,unknown,"So, how ya doin?",,,peaceful
train,s01_e02_c07,7,s01_e02_c07_u007,unknown,I'm- uh- I'm okay... You look great!,,,sad
train,s01_e02_c07,8,s01_e02_c07_u008,unknown,"Yeah, well..",,,neutral
train,s01_e02_c07,9,s01_e02_c07_u009,unknown,"Dr. Farber, Jason Greenstein's gagging.",,,neutral
train,s01_e02_c07,10,s01_e02_c07_u010,unknown,Be right there. Be back in a sec.,,,neutral
train,s01_e02_c07,12,s01_e02_c07_u012,unknown,I dumped him.,,,sad
train,s01_e02_c07,13,s01_e02_c07_u013,unknown,Okay.,,,neutral
train,s01_e02_c08,1,s01_e02_c08_u001,unknown,"So, um- so how's this, uh, how's this gonna work? Y'know, with us? Y'know, when, like, important decisions have to be made?",,,scared
train,s01_e02_c08,2,s01_e02_c08_u002,unknown,Give me a 'for instance'.,,,mad
train,s01_e02_c08,3,s01_e02_c08_u003,unknown,"Well, uh, uh, I don't know, okay, okay, how about with the, uh, with the baby's name?",,,scared
train,s01_e02_c08,4,s01_e02_c08_u004,unknown,Marlon-,,,powerful
train,s01_e02_c08,5,s01_e02_c08_u005,unknown,Marlon?!,,,mad
train,s01_e02_c08,6,s01_e02_c08_u006,unknown,"-if it's a boy, Minnie if it's a girl.",,,powerful
train,s01_e02_c08,7,s01_e02_c08_u007,unknown,...As in Mouse?,,,mad
train,s01_e02_c08,8,s01_e02_c08_u008,unknown,As in my grandmother.,,,neutral
train,s01_e02_c08,9,s01_e02_c08_u009,unknown,"Still, you- you say Minnie, you hear Mouse. Um, how about, um.. how about Julia?",,,scared
train,s01_e02_c08,10,s01_e02_c08_u010,unknown,Julia..,,,neutral
train,s01_e02_c08,11,s01_e02_c08_u011,unknown,We agreed on Minnie.,,,powerful
train,s01_e02_c08,12,s01_e02_c08_u012,unknown,"'S'funny, um, uh, we agreed we'd spend the rest of our lives together. Things change, roll with the punches. I believe Julia's on the table..?",,,powerful
train,s01_e02_c09,1,s01_e02_c09_u001,unknown,Sorry about that. So. What have you been up to?,,,neutral
train,s01_e02_c09,2,s01_e02_c09_u002,unknown,"Oh, not much. I-I got a job.",,,scared
train,s01_e02_c09,3,s01_e02_c09_u003,unknown,"Oh, that's great.",,,joyful
train,s01_e02_c09,4,s01_e02_c09_u004,unknown,Why are- why are you so tanned?,,,scared
train,s01_e02_c09,5,s01_e02_c09_u005,unknown,"Oh, I, uh- I went to Aruba.",,,scared
train,s01_e02_c09,6,s01_e02_c09_u006,unknown,Oh no. You went on our honeymoon alone?,,,mad
train,s01_e02_c09,7,s01_e02_c09_u007,unknown,"No. I went with, uh.. Now, this may hurt.",,,neutral
train,s01_e02_c09,8,s01_e02_c09_u008,unknown,Me?!,,,neutral
train,s01_e02_c09,9,s01_e02_c09_u009,unknown,No! I went with Mindy.,,,scared
train,s01_e02_c09,10,s01_e02_c09_u010,unknown,"Mindy?! My maid of honour, Mindy?!",,,mad
train,s01_e02_c09,11,s01_e02_c09_u011,unknown,"Yeah, well, uh, we're kind of a thing now.",,,scared
train,s01_e02_c09,12,s01_e02_c09_u012,unknown,"Oh! Well, um.. You've got plugs!",,,mad
train,s01_e02_c09,13,s01_e02_c09_u013,unknown,Careful! They haven't quite taken yet.,,,mad
train,s01_e02_c09,14,s01_e02_c09_u014,unknown,And you've got lenses! But you hate sticking your finger in your eye!,,,mad
train,s01_e02_c09,15,s01_e02_c09_u015,unknown,"Not for her. Listen, I really wanted to thank you.",,,peaceful
train,s01_e02_c09,16,s01_e02_c09_u016,unknown,Okay..,,,mad
train,s01_e02_c09,17,s01_e02_c09_u017,unknown,"See, about a month ago, I wanted to hurt you. More than I've ever wanted to hurt anyone in my life. And I'm an orthodontist.",,,neutral
train,s01_e02_c09,18,s01_e02_c09_u018,unknown,Wow.,,,scared
train,s01_e02_c09,19,s01_e02_c09_u019,unknown,"You know, you were right? I mean, I thought we were happy. We weren't happy. But with Mindy, now I'm happy. Spit.",,,joyful
train,s01_e02_c09,20,s01_e02_c09_u020,unknown,What?,,,scared
train,s01_e02_c09,21,s01_e02_c09_u021,unknown,Me.,,,sad
train,s01_e02_c09,22,s01_e02_c09_u022,unknown,"Anyway, um, I guess this belongs to you. And thank you for giving it to me.",,,sad
train,s01_e02_c09,23,s01_e02_c09_u023,unknown,"Well, thank you for giving it back.",,,sad
train,s01_e02_c09,25,s01_e02_c09_u025,unknown,Hello?!,,,scared
train,s01_e02_c10,1,s01_e02_c10_u001,unknown,"Oh, please! What's wrong with Helen?",,,mad
train,s01_e02_c10,2,s01_e02_c10_u002,unknown,Helen Geller? I don't think so.,,,mad
train,s01_e02_c10,3,s01_e02_c10_u003,unknown,Hello? It's not gonna be Helen Geller.,,,powerful
train,s01_e02_c10,4,s01_e02_c10_u004,unknown,Thank you!,,,powerful
train,s01_e02_c10,5,s01_e02_c10_u005,unknown,"No, I mean it's not Geller.",,,powerful
train,s01_e02_c10,6,s01_e02_c10_u006,unknown,"What, it's gonna be Helen Willick?",,,mad
train,s01_e02_c10,7,s01_e02_c10_u007,unknown,"No, actually, um, we talked about Helen Willick-Bunch.",,,neutral
train,s01_e02_c10,8,s01_e02_c10_u008,unknown,"Well, wait a minute, wha- why is she in the title?",,,mad
train,s01_e02_c10,9,s01_e02_c10_u009,unknown,It's my baby too.,,,powerful
train,s01_e02_c10,10,s01_e02_c10_u010,unknown,"Oh, 's'funny, really? Um, I don't remember you making any sperm.",,,mad
train,s01_e02_c10,11,s01_e02_c10_u011,unknown,"Yeah, and we all know what a challenge that is!",,,mad
train,s01_e02_c10,12,s01_e02_c10_u012,unknown,"All right, you two, stop it!",,,mad
train,s01_e02_c10,13,s01_e02_c10_u013,unknown,"No no no, she gets a credit, hey, I'm in there too.",,,mad
train,s01_e02_c10,14,s01_e02_c10_u014,unknown,Ross. You're not actually suggesting Helen Willick-Bunch-Geller? 'Cause I think that borders on child abuse.,,,neutral
train,s01_e02_c10,15,s01_e02_c10_u015,unknown,"Of course not, I'm... suggesting Geller-Willick-Bunch.",,,powerful
train,s01_e02_c10,16,s01_e02_c10_u016,unknown,"Oh, no, nonononono, you see what he's doing? He knows no-one's gonna say all those names, so they'll wind up calling her Geller, then he gets his way!",,,mad
train,s01_e02_c10,17,s01_e02_c10_u017,unknown,"My way?! You-you think this is my way? Believe me, of all the ways I ever imagined this moment in my life being, this is not my way- y'know what? Uh, um, this is too hard. I'm not, I can't do-",,,mad
train,s01_e02_c10,18,s01_e02_c10_u018,unknown,Knock knock!How are we today? Any nausea?,,,neutral
train,s01_e02_c10,19,s01_e02_c10_u019,unknown,Yeah. Yeah. A little.,,,neutral
train,s01_e02_c10,20,s01_e02_c10_u020,unknown,"Well, I was just wondering about the mother-to-be, but.. thanks for sharing. Uh, lie back..",,,neutral
train,s01_e02_c10,21,s01_e02_c10_u021,unknown,"You- uh- y'know what, I'm gonna go. I don't- I don't think I can be involved in this particular thing right now.",,,sad
train,s01_e02_c10,23,s01_e02_c10_u023,unknown,Oh my God.,,,joyful
train,s01_e02_c10,24,s01_e02_c10_u024,unknown,Look at that.,,,joyful
train,s01_e02_c10,25,s01_e02_c10_u025,unknown,I know.,,,joyful
train,s01_e02_c11,1,s01_e02_c11_u001,unknown,Well? Isn't that amazing?,,,joyful
train,s01_e02_c11,2,s01_e02_c11_u002,unknown,What are we supposed to be seeing here?,,,neutral
train,s01_e02_c11,3,s01_e02_c11_u003,unknown,"I dunno, but.. I think it's about to attack the Enterprise.",,,joyful
train,s01_e02_c11,4,s01_e02_c11_u004,unknown,"You know, if you tilt your head to the left, and relax your eyes, it kinda looks like an old potato.",,,joyful
train,s01_e02_c11,5,s01_e02_c11_u005,unknown,"Then don't do that, alright?",,,mad
train,s01_e02_c11,6,s01_e02_c11_u006,unknown,Okay!,,,neutral
train,s01_e02_c11,7,s01_e02_c11_u007,unknown,Monica. Whaddya think?,,,neutral
train,s01_e02_c11,8,s01_e02_c11_u008,unknown,Mm-hmm.,,,sad
train,s01_e02_c11,9,s01_e02_c11_u009,unknown,Wh- are you welling up?,,,neutral
train,s01_e02_c11,10,s01_e02_c11_u010,unknown,No.,,,neutral
train,s01_e02_c11,11,s01_e02_c11_u011,unknown,"You are, you're welling up.",,,powerful
train,s01_e02_c11,12,s01_e02_c11_u012,unknown,Am not!,,,mad
train,s01_e02_c11,13,s01_e02_c11_u013,unknown,You're gonna be an aunt.,,,joyful
train,s01_e02_c11,14,s01_e02_c11_u014,unknown,Oh shut up!,,,joyful
train,s01_e02_c11,15,s01_e02_c11_u015,unknown,"Hi, Mindy. Hi, it-it's Rachel. Yeah, I'm fine. I-I saw Barry today. Oh, yeah, yeah he-he told me. No, no, it's okay. I hope you two are very happy, I really do. Oh, oh, and Mind, y'know, if-if everything works out, and you guys end up getting married and having kids- and everything- I just hope they have his old hairline and your old nose. Okay, I know it was a cheap shot, but I feel so much better now.",,,mad
train,s01_e03_c01,1,s01_e03_c01_u001,unknown,Hi guys!,,,joyful
train,s01_e03_c01,2,s01_e03_c01_u002,unknown,"Hey, Pheebs! Hi!",,,joyful
train,s01_e03_c01,3,s01_e03_c01_u003,unknown,"Hey. Oh, oh, how'd it go?",,,joyful
train,s01_e03_c01,4,s01_e03_c01_u004,unknown,"Um, not so good. He walked me to the subway and said 'We should do this again!'",,,sad
train,s01_e03_c01,5,s01_e03_c01_u005,unknown,Ohh. Ouch.,,,sad
train,s01_e03_c01,6,s01_e03_c01_u006,unknown,"What? He said 'we should do it again', that's good, right?",,,neutral
train,s01_e03_c01,7,s01_e03_c01_u007,unknown,"Uh, no. Loosely translated 'We should do this again' means 'You will never see me naked'.",,,neutral
train,s01_e03_c01,8,s01_e03_c01_u008,unknown,Since when?,,,neutral
train,s01_e03_c01,9,s01_e03_c01_u009,unknown,"Since always. It's like dating language. Y'know, like 'It's not you' means 'It is you'.",,,neutral
train,s01_e03_c01,10,s01_e03_c01_u010,unknown,Or 'You're such a nice guy' means 'I'm gonna be dating leather-wearing alcoholics and complaining about them to you'.,,,neutral
train,s01_e03_c01,11,s01_e03_c01_u011,unknown,"Or, or, y'know, um, 'I think we should see other people' means 'Ha, ha, I already am'.",,,mad
train,s01_e03_c01,12,s01_e03_c01_u012,unknown,And everybody knows this?,,,neutral
train,s01_e03_c01,13,s01_e03_c01_u013,unknown,Yeah. Cushions the blow.,,,neutral
train,s01_e03_c01,14,s01_e03_c01_u014,unknown,"Yeah, it's like when you're a kid, and your parents put your dog to sleep, and they tell you it went off to live on some farm.",,,neutral
train,s01_e03_c01,15,s01_e03_c01_u015,unknown,"That's funny, that, no, because, uh, our parents actually did, uh, send our dog off to live on a farm.",,,neutral
train,s01_e03_c01,16,s01_e03_c01_u016,unknown,"Uh, Ross.",,,neutral
train,s01_e03_c01,17,s01_e03_c01_u017,unknown,"What? Wh- hello? The Millners' farm in Connecticut? The Millners, they had this unbelievable farm, they had horses, and, and rabbits that he could chase and it was- it w- .....Oh my God, Chi Chi!",,,scared
train,s01_e03_c02,1,s01_e03_c02_u001,unknown,"""So how does it feel knowing you're about to die?""",,,neutral
train,s01_e03_c02,2,s01_e03_c02_u002,unknown,"""Warden, in five minutes my pain will be over. But you'll have to live with the knowledge that you sent an honest man to die.""",,,peaceful
train,s01_e03_c02,3,s01_e03_c02_u003,unknown,"Hey, that was really good!",,,joyful
train,s01_e03_c02,4,s01_e03_c02_u004,unknown,Thanks! Let's keep going.,,,powerful
train,s01_e03_c02,5,s01_e03_c02_u005,unknown,"Okay. ""So. Whaddya want from me, Damone, huh?""",,,neutral
train,s01_e03_c02,6,s01_e03_c02_u006,unknown,"""I just wanna go back to my cell. 'Cause in my cell, I can smoke.""",,,neutral
train,s01_e03_c02,7,s01_e03_c02_u007,unknown,"""Smoke away.""",,,neutral
train,s01_e03_c02,9,s01_e03_c02_u009,unknown,I think this is probably why Damone smokes in his cell alone.,,,neutral
train,s01_e03_c02,10,s01_e03_c02_u010,unknown,What?,,,scared
train,s01_e03_c02,11,s01_e03_c02_u011,unknown,Relax your hand!,,,powerful
train,s01_e03_c02,13,s01_e03_c02_u013,unknown,Not so much!,,,powerful
train,s01_e03_c02,14,s01_e03_c02_u014,unknown,Whoah!,,,scared
train,s01_e03_c02,15,s01_e03_c02_u015,unknown,Hey!,,,powerful
train,s01_e03_c02,16,s01_e03_c02_u016,unknown,Hey!,,,powerful
train,s01_e03_c02,17,s01_e03_c02_u017,unknown,"Alright, now try taking a puff.",,,neutral
train,s01_e03_c02,19,s01_e03_c02_u019,unknown,Alright.. okay. No. Give it to me.,,,neutral
train,s01_e03_c02,20,s01_e03_c02_u020,unknown,"No no no, I am not giving you a cigarette.",,,neutral
train,s01_e03_c02,21,s01_e03_c02_u021,unknown,"It's fine, it's fine. Look, do you wanna get this part, or not? Here.",,,powerful
train,s01_e03_c02,23,s01_e03_c02_u023,unknown,"Don't think of it as a cigarette. Think of it as the thing that's been missing from your hand. When you're holding it, you feel right. You feel complete.",,,powerful
train,s01_e03_c02,24,s01_e03_c02_u024,unknown,Y'miss it?,,,neutral
train,s01_e03_c02,25,s01_e03_c02_u025,unknown,"Nah, not so much. Alright, now we smoke. Oh.. my.. God.",,,scared
train,s01_e03_c06,1,s01_e03_c06_u001,unknown,Hi.. how was the game?,,,neutral
train,s01_e03_c06,2,s01_e03_c06_u002,unknown,Well..,,,neutral
train,s01_e03_c06,3,s01_e03_c06_u003,unknown,WE WON!! Thank you! Yes!,,,joyful
train,s01_e03_c06,4,s01_e03_c06_u004,unknown,Fantastic! I have one question: How is that possible?,,,joyful
train,s01_e03_c06,5,s01_e03_c06_u005,unknown,Alan.,,,neutral
train,s01_e03_c06,6,s01_e03_c06_u006,unknown,"He was unbelievable. He was like that-that-that Bugs Bunny cartoon where Bugs is playing all the positions, right, but instead of Bugs it was first base-Alan, second base-Alan, third base-...",,,joyful
train,s01_e03_c06,7,s01_e03_c06_u007,unknown,"I mean, it-it was like, it was like he made us into a team.",,,sad
train,s01_e03_c06,8,s01_e03_c06_u008,unknown,"Yep, we sure showed those Hassidic jewellers a thing or two about softball..",,,joyful
train,s01_e03_c06,9,s01_e03_c06_u009,unknown,Can I ask you guys a question? D'you ever think that Alan is maybe.. sometimes..,,,scared
train,s01_e03_c06,10,s01_e03_c06_u010,unknown,What?,,,neutral
train,s01_e03_c06,11,s01_e03_c06_u011,unknown,"..I dunno, a little too Alan?",,,neutral
train,s01_e03_c06,12,s01_e03_c06_u012,unknown,"Well, no. That's impossible. You can never be too Alan.",,,mad
train,s01_e03_c06,13,s01_e03_c06_u013,unknown,"Yeah, it's his, uh, innate Alan-ness that-that-that we adore.",,,joyful
train,s01_e03_c06,14,s01_e03_c06_u014,unknown,I personally could have a gallon of Alan.,,,joyful
train,s01_e03_c07,1,s01_e03_c07_u001,unknown,"Hey, Lizzie.",,,neutral
train,s01_e03_c07,2,s01_e03_c07_u002,unknown,"Hey, Weird Girl.",,,neutral
train,s01_e03_c07,3,s01_e03_c07_u003,unknown,I brought you alphabet soup.,,,neutral
train,s01_e03_c07,4,s01_e03_c07_u004,unknown,Did you pick out the vowels?,,,neutral
train,s01_e03_c07,5,s01_e03_c07_u005,unknown,"Yes. But I left in the Ys. 'Cause, y'know, ""sometimes y"". Uh, I also have something else for you.",,,neutral
train,s01_e03_c07,6,s01_e03_c07_u006,unknown,Saltines?,,,neutral
train,s01_e03_c07,7,s01_e03_c07_u007,unknown,"No, but would you like a thousand dollars and a football phone?",,,neutral
train,s01_e03_c07,8,s01_e03_c07_u008,unknown,"What? Oh my God, there's really money in here.",,,joyful
train,s01_e03_c07,9,s01_e03_c07_u009,unknown,I know.,,,neutral
train,s01_e03_c07,10,s01_e03_c07_u010,unknown,"Weird Girl, what are you doing?",,,neutral
train,s01_e03_c07,11,s01_e03_c07_u011,unknown,"No, I want you to have it. I don't want it.",,,neutral
train,s01_e03_c07,12,s01_e03_c07_u012,unknown,"No, no, I ha-I have to give you something.",,,neutral
train,s01_e03_c07,13,s01_e03_c07_u013,unknown,"Oh, that's fine, no.",,,neutral
train,s01_e03_c07,14,s01_e03_c07_u014,unknown,Would you like my tin-foil hat?,,,joyful
train,s01_e03_c07,15,s01_e03_c07_u015,unknown,"No. 'Cause you need that. No, it's okay, thanks.",,,neutral
train,s01_e03_c07,16,s01_e03_c07_u016,unknown,"Please, let me do something.",,,neutral
train,s01_e03_c07,17,s01_e03_c07_u017,unknown,"Okay, alright, you buy me a soda, and then we're even. Okay?",,,neutral
train,s01_e03_c07,18,s01_e03_c07_u018,unknown,Okay.,,,neutral
train,s01_e03_c07,19,s01_e03_c07_u019,unknown,Okay.,,,neutral
train,s01_e03_c09,1,s01_e03_c09_u001,unknown,A thumb?!,,,neutral
train,s01_e03_c09,3,s01_e03_c09_u003,unknown,Eww!,,,scared
train,s01_e03_c09,4,s01_e03_c09_u004,unknown,"I know! I know, I opened it up and there it was, just floating in there, like this tiny little hitch-hiker!",,,mad
train,s01_e03_c09,5,s01_e03_c09_u005,unknown,"Well, maybe it's a contest, y'know? Like, collect all five?",,,neutral
train,s01_e03_c09,6,s01_e03_c09_u006,unknown,"Does, um, anyone wanna see?",,,neutral
train,s01_e03_c09,7,s01_e03_c09_u007,unknown,Nooo!,,,scared
train,s01_e03_c09,9,s01_e03_c09_u009,unknown,"Oh, hey, don't do that! Cut it out!",,,scared
train,s01_e03_c09,10,s01_e03_c09_u010,unknown,It's worse than the thumb!,,,scared
train,s01_e03_c09,11,s01_e03_c09_u011,unknown,"Hey, this is so unfair!",,,neutral
train,s01_e03_c09,12,s01_e03_c09_u012,unknown,"Oh, why is it unfair?",,,neutral
train,s01_e03_c09,13,s01_e03_c09_u013,unknown,"So I have a flaw! Big deal! Like Joey's constant knuckle-cracking isn't annoying? And Ross, with his over-pronouncing every single word? And Monica, with that snort when she laughs? I mean, what the hell is that thing? ...I accept all those flaws, why can't you accept me for this?",,,scared
train,s01_e03_c09,15,s01_e03_c09_u015,unknown,...Does the knuckle-cracking bother everybody?,,,sad
train,s01_e03_c09,16,s01_e03_c09_u016,unknown,"Well, I-I could live without it.",,,neutral
train,s01_e03_c09,17,s01_e03_c09_u017,unknown,"Well, is it, like, a little annoying, or is it like when Phoebe chews her hair?",,,neutral
train,s01_e03_c09,19,s01_e03_c09_u019,unknown,"Oh, now, don't listen to him, Pheebs, I think it's endearing.",,,joyful
train,s01_e03_c09,20,s01_e03_c09_u020,unknown,"Oh, ""you do, do you""?",,,joyful
train,s01_e03_c09,22,s01_e03_c09_u022,unknown,"You know, there's nothing wrong with speaking correctly.",,,neutral
train,s01_e03_c09,23,s01_e03_c09_u023,unknown,"""Indeed there isn't""... I should really get back to work.",,,neutral
train,s01_e03_c09,24,s01_e03_c09_u024,unknown,"Yeah, 'cause otherwise someone might get what they actually ordered.",,,neutral
train,s01_e03_c09,25,s01_e03_c09_u025,unknown,"Ohh-ho-hooohhh. The hair comes out, and the gloves come on.",,,mad
train,s01_e03_c10,1,s01_e03_c10_u001,unknown,Did you ever go out with a guy your friends all really like?,,,neutral
train,s01_e03_c10,2,s01_e03_c10_u002,unknown,No.,,,neutral
train,s01_e03_c10,3,s01_e03_c10_u003,unknown,"Okay.. Well, I'm going out with a guy my friends all really like.",,,peaceful
train,s01_e03_c10,4,s01_e03_c10_u004,unknown,"Waitwait.. we talking about the coyotes here? All right, a cow got through!",,,joyful
train,s01_e03_c10,5,s01_e03_c10_u005,unknown,"Can you believe it? ...Y'know what? I just don't feel the thing. I mean, they feel the thing, I don't feel the thing.",,,scared
train,s01_e03_c10,6,s01_e03_c10_u006,unknown,"Honey.. you should always feel the thing. Listen, if that's how you feel about the guy, Monica, dump him!",,,powerful
train,s01_e03_c10,7,s01_e03_c10_u007,unknown,I know.. it's gonna be really hard.,,,sad
train,s01_e03_c10,8,s01_e03_c10_u008,unknown,"Well, he's a big boy, he'll get over it.",,,powerful
train,s01_e03_c10,9,s01_e03_c10_u009,unknown,"No, he'll be fine. It's the other five I'm worried about.",,,sad
train,s01_e03_c11,1,s01_e03_c11_u001,unknown,Do you have any respect for your body?,,,neutral
train,s01_e03_c11,2,s01_e03_c11_u002,unknown,Don't you realise what you're-you're doing to yourself?,,,mad
train,s01_e03_c11,3,s01_e03_c11_u003,unknown,"Hey, y'know, I have had it with you guys and your cancer and your emphysema and your heart disease. The bottom line is, smoking is cool, and you know it.",,,mad
train,s01_e03_c11,4,s01_e03_c11_u004,unknown,"Chandler? It's Alan, he wants to speak to you.",,,neutral
train,s01_e03_c11,5,s01_e03_c11_u005,unknown,"Really? He does? Hey, buddy, what's up! Oh, she told you about that, huh. Well, yeah, I have one now and then. Well, yeah, now. Well, it's not that big- ..well, that's true,.. Gee, y'know, no-one- no-one's ever put it like that before. Well, okay, thanks!",,,joyful
train,s01_e03_c11,6,s01_e03_c11_u006,unknown,"God, he's good.",,,peaceful
train,s01_e03_c11,7,s01_e03_c11_u007,unknown,If only he were a woman.,,,sad
train,s01_e03_c11,8,s01_e03_c11_u008,unknown,Yeah.,,,neutral
train,s01_e03_c13,1,s01_e03_c13_u001,unknown,Wow.,,,joyful
train,s01_e03_c13,2,s01_e03_c13_u002,unknown,"I'm, I'm really sorry.",,,sad
train,s01_e03_c13,3,s01_e03_c13_u003,unknown,"Yeah, I'm sorry too. But, I gotta tell you, I am a little relieved.",,,peaceful
train,s01_e03_c13,4,s01_e03_c13_u004,unknown,Relieved?,,,neutral
train,s01_e03_c13,5,s01_e03_c13_u005,unknown,"Yeah, well, I had a great time with you.. I just can't stand your friends.",,,mad
train,s01_e03_c14,1,s01_e03_c14_u001,unknown,Remember when we went to Central Park and rented boats?.. That was fun.,,,peaceful
train,s01_e03_c14,2,s01_e03_c14_u002,unknown,Yeah. He could row like a viking.,,,powerful
train,s01_e03_c14,3,s01_e03_c14_u003,unknown,Hi.,,,neutral
train,s01_e03_c14,4,s01_e03_c14_u004,unknown,Mmm.,,,peaceful
train,s01_e03_c14,5,s01_e03_c14_u005,unknown,So how'd it go?,,,neutral
train,s01_e03_c14,6,s01_e03_c14_u006,unknown,"Oh, y'know..",,,sad
train,s01_e03_c14,7,s01_e03_c14_u007,unknown,Did he mention us?,,,scared
train,s01_e03_c14,8,s01_e03_c14_u008,unknown,He said he's really gonna miss you guys.,,,sad
